1,2,1,1,250.00,Debit,08/05/2025
1,2,2,1,180.00,Debit,08/05/2025
2,2,1,1,250.00,Credit,08/05/2025
3,2,1,1,250.00,Credit,11/05/2025
4,2,1,1,250.00,Credit,11/05/2025

5,2,1,1,250.00,Credit,20/05/2025
5,2,2,4,720.00,Credit,20/05/2025
6,2,1,2,500.00,Credit,20/05/2025
7,2,1,1,250.00,Credit,20/05/2025
8,2,1,1,250.00,Credit,20/05/2025
9,2,1,1,250.00,Credit,20/05/2025
10,2,1,2,500.00,Credit,21/05/2025
10,2,1,1,250.00,Credit,21/05/2025
10,2,2,1,180.00,Credit,21/05/2025
11,2,9,2,190.00,Credit,21/05/2025
12,2,1,1,250.00,Credit,21/05/2025
